author,name,desc,detail,dwnld
Нетология,"Курс ""Таргетолог"". Эффективная реклама в соцсетях и результат с минимальным бюджетом (2019)",,https://netology.ru/programs/target-smm#/presentation,https://cloud.mail.ru/public/3vPb/Cy6PNWQ48
Нетология,Power BI (2020),"BI-платформы — инструмент бизнес-анализа, позволяющий анализировать «живые» данные и создавать визуальные отчёты без привлечения ИТ-специалистов

Чему вы научитесь на курсе

Работать с данными из различных источников: корпоративных баз данных, электронных таблиц и текстовых файлов
Отслеживать неочевидные закономерности между показателями и находить точки роста
Cоздавать наглядные интерактивные отчёты и дашборды для анализа бизнес-метрик в онлайн-режиме
Кому идеально подойдет этот курс

BI-аналитики. Вы сможете быстрее собирать и обрабатывать данные, больше времени посвящать поиску инсайтов и «упаковывать» результаты в красивые и понятные коллегам отчёты
Маркетологи. Научитесь самостоятельно настраивать необходимые дашборды и отслеживать эффективность маркетинговых инструментов в онлайн-режиме
Веб-аналитики. Примените новый инструмент для работы с данными из разных источников и сможете построить сквозную аналитику маркетинговой активности
Новички. Сможете выйти на новый карьерный уровень, изучив инструмент, который (по данным многочисленных опросов) очень нужен в большинстве крупных компаний

Программа:

Загрузка и преобразование данных

Знакомство с возможностями и компонентами Power BI
Этапы проведения аналитического исследования
Загрузка и подготовка данных к анализу
Преобразование текстовых, числовых и календарных данных
Выгрузка данных из веба
Сложные запросы и функции
Обработка результатов опросов
Моделирование и анализ данных

Создание модели данных
Язык анализа данных DAX
Настройка модели данных
Создание вычисляемых столбцов, мер и таблиц
Использование переменных в формулах
Использование быстрых мер
Визуализация данных. Работа с отчётами

Создание и настройка визуальных элементов
Инструменты настройки дизайна визуального элемента
Фильтры и подготовка отчёта для внешних пользователей
Вёрстка отчётов под мобильные устройства
Детализация данных
Публикация данных и совместная работа с отчётами

Подготовка дашбордов и их анализ
Создание отчётов Power BI в браузере
Работа с готовыми отчетами в браузере и специальном приложении Power BI
Работа в Power BI из браузера
Инструменты Power BI в Excel",https://netology.ru/programs/power-bi,https://cloud.mail.ru/public/2c6N/4ttR63trc
Нетология,PR для стартапа (2018),,,https://cloud.mail.ru/public/5NqP/3DqQyp1Cd
Нетология,Основы интернет-маркетинга,,http://netology.ru/courses/osnovy-internet-marketinga,https://cloud.mail.ru/public/3Joh/5bmdm4QH2
Нетология,Аналитик данных (2019),,https://netology.ru/programs/data-analyst#/experts,"https://cloud.mail.ru/public/2XX5/3bMtceY1H





Спойлер: Тыкни! Здесь кое-что есть!



Записывайтесь на складчину UX Design с Майклом Джандой. Это авторский курсот создателя бестселлера «Сожги своё портфолио»
Требуется набрать 25 участников, каждый из которых обязан совершить взнос 490 руб. После того как собираем нужную сумму курс покупают и раздают. Записывайся! Это реально топовый автор!"
Нетология,Smm-менеджер (2019),"Чему научитесь на курсе

Составлять стратегию продвижения в соцсетях
Формировать портрет ЦА, проводить конкурентый анализ, определять цели и задачи стратегии, выбирать инструменты продвижения, составлять смету.

Работать с текстами, фото и видео
Составлять рабочие контент-стратегии, писать интересные тексты для постов, обрабатывать фото и видео в популярных мобильных приложениях.

Продвигать бизнес через соцсети
Настраивать рекламу, работать с блогерами, использовать рассылки и чат-боты и экспериментировать со способами продвижения

Управлять сообществом подписчиков
Общаться с аудиторией в социальных сетях так, чтобы вам доверяли, вовлекать подписчиков в активности.

 Вести работу с заказчиками и командой
Оценивать и прогнозировать ресурсы. Выстраивать работу в команде: ставить задачи и принимать результаты.

Достигнутые результаты

Аудит собственных сообществ

Составлена контент-стратегия для соцсетей
Составлен эффективный отчёт для работы с клиентами
Разработана SMM-стратегия по реальному проекту

Ключевые навыки

Исследование целевой аудитории и конкурентов
Написание текстов для целевой аудитории
Работа с рекламными кабинетами ВКонтакте, Facebook и myTarget
Работа с лидерами мнений и блогерами
Разработка техзаданий для дизайнера или фотографа
Генерация идей для креатива
Активации и креативные механики для вовлечения аудитории
Медиапланирование
Управление командой",https://netology.ru/programs/smm-specialist#/,https://cloud.mail.ru/public/2tDv/5JRURNiZe
Нетология,Профессия - Data Scientist (2019),"Мощнейший курс по программированию от Нетологии. В сети были некоторые части материала, которые вызывали дикий восторг у людей. В этой раздаче находится весь материал.

Data Scientist создаёт и обучает предиктивные модели с помощью алгоритмов машинного обучения и нейросетей, помогая бизнесу находить скрытые закономерности, прогнозировать развитие событий и оптимизировать ключевые бизнес-процессы.

Курс состоит из более чем 180 часов видео и домашних заданий от ведущих специалистов по Data Scientist компаний Mail.ru, Ivi и Avito.

Первые два набора уже удачно состоялись, и студенты вовсю погрузились в базовые алгоритмы ML, feature engineering, машинное зрение, Data Scientist в e-commerce, временные ряды и прогнозирование стоимости акций и других товаров. Их преподавателями стали эксперты из Yandex Data Factory, Rambler&Co, Сбербанк Технологии и теперь у вас появится возможность получить все необходимые знания и навыки для работы в области больших данных.

Программа обучения:

I Подготовительный блок:
Экспресс-обучение основным инструментам: Python 3, git, библиотеки numpy, pandas. Обзор основного математического аппарата: матричные операции, введение в статистику и проверку гипотез.

II Введение в data science, основные инструменты:
Что такое data science, big data, как это работает и где применяется. Эксплоративный анализ и библиотеки визуализации данных. Обзор методов машинного обучения в бибилотеке scikit-learn.

III Базовые алгоритмы и понятия машинного обучения:
Разбор основных задач и алгоритмов машинного обучения: деревья решений, метод k ближайших соседей, линейный классификатор и логистическая регрессия, кластеризация. Проверка точности модели. Проблема переобучения и борьба с ней: регуляризация, ансамблирование.

IV Feature engineering:
Проблемы качества и размерности данных. Уменьшение размерности данных. Методы декомпозиции. Cпрямляющие пространства.

V Рекомендательные системы:
Введение в рекомендательные системы. Неперсонализированные рекомендации. Персонализированные рекомендации. Развитие рекомендательных систем.

VI Распознавание изображений, машинное зрение:
Базовая теория. Обзор кейсов применения. Нейросети. Разбор реальных задач: рукописный ввод, детекция и сегментация объектов на изображении.

VII Обработка естественного языка (NLP):
Введение в обработку текста. Обзор существующих библиотек, их использование и доработка. Использование внешних ресурсов. Грязные тексты: что это такое и как с ними работать. Дистрибутивная семантика. Чатботы: разбор генерации текстов. Нейросети для NLP.

VIII Анализ временных рядов, прогнозирование:
Временные ряды, модели ARMA/ARIMA. Сложные модели прогнозирования. Эксплоративный анализ временных рядов.

IX Общение с заказчиком:
Проекты машинного обучения: как выявить требования и оценить проект. Составление отчетов по исследованиям. Мастер-класс по презентации результатов.

X Data Science в маркетинге и e-commerce:
Цели, задачи, решения и критерии успешности применения Data Science. Маркетинг Data-Driven vs интуиция. Типы данных и примеры датасетов. Методы сбора из разных источников. Подготовка и обработка данных, извлечение смысла и визуализация. Разбор атрибуции маркетинговых расходов для увеличения дохода интернет-магазина.

XI Дополнительные инструменты, среды:
Экосистема Google: BigQuery, Dataflow, Dataproc, Datalab и др. Коммерческие решения HP: Vertica, Haven, IDOL, коннекторы данных. Решения от Amazon (AWS). Хранение и обработка данных в Clickhouse.

XII Дипломная работа:
Разработка и внедрение собственного ML-решения/проекта либо разработка предложенного нами кейса.

Что вы получите в результате обучения

Достигнутые результаты
Построена полносвязная нейросеть
Создан чат-бот для поиска авиабилетов
Построен классификатор изображений
Созданы рекомендательные системы для музыкального и киносайта
Создан готовый к внедрению ml-проект

Ключевые навыки
Сбор и подготовка данных для анализа
Создание нейросетей
Генерация текстов и изображений
Создание рекомендательных систем
Выбор и реализация алгоритма под задачу
Выбор и создание фич для модели

Объем материала: ~ 165 GB",https://netology.ru/programs/data-scientist#/resume,https://cloud.mail.ru/public/4RNw/cXyKhbhAr
Нетология,"PR в digital: стратегия, репутация, инструменты (2017)",,https://netology.ru/programs/digital-pr#/lessons,"https://yadi.sk/d/wVXdtt0s3Smrog



			Пароль: www.infosklad.org
		
Нажмите для раскрытия..."
Нетология,SQL и получение данных (2019),"Программа обучения SQL — первый шаг в профессиональном росте дата саентистов и аналитиков данных в сильных командах и проектах. Уже через 5 лет, по словам экспертов активно развивающихся отраслей (телекома, финтеха, ритейла и мобильных сервисов), без владения SQL невозможно будет вырасти выше уровня junior.

1. Научим получать данные для анализа без помощи разработчиков
2. Объясним, как пользоваться инструментами, которые упростят работу с отчётами

Возможности после обучения:

1. Овладеете языком запросов SQL
Познакомитесь с разнообразным окружением БД: git, виртуальные машины, linux
2. Углубите знания SQL
Перейдёте от исполнения запросов к написанию функций
3. Найдёте общий язык с разработчиками
Улучшите понимание процессов инжиниринга данных


Ключевые навыки после обучения:

1. Сбор и подготовка данных для анализа
2. Умение писать сложные запросы на SQL
3. Импорт и экспорт данных
4. Понимание архитектуры и структуры БД
5. Группировка и фильтрация данных из БД
6. Работа с разными форматами файлов

Программа курса:

Модуль 1 - SQL и получение данных

SQL — главный инструмент аналитика. Вы научитесь с помощью SQL получать данные из БД, фильтровать, агрегировать, а также импортировать и экспортировать.

1. Введение в окружение. Работа с Git
2. Теория множеств. Введение в реляционную алгебру
3. Разбор сложностей и вопросов при работе с окружением
4. Основы баз данных. Масштабирование нарузки в СУБД
5. Основы SQL
6. Углубление в SQL
7. Работа с PostgreSQL
8. Работа с MongoDB
9. Лабораторная работа по блоку

Навыки, которые вы получите

1. Сможете объяснить архитектуру и структур баз данных в общем виде
2. Научитесь писать простые SQL-запросы, чтобы получать данные из БД
3. Узнаете, как писать джоины, чтобы создавать новые таблицы
4. Сможете группировать, фильтровать данные из БД
5. Научитесь использовать аналитические функции SQL, чтобы изучать характеристики данных, и базу данных PostgreSQL, чтобы хранить данные
6. Сможете подключаться к БД из Python


Модуль 2 - Финальная зачётная работа

В рамках дипломного проекта вы примените полученные навыки для решения реальных профессиональных задач: развернёте базу данных локально или в виртуальной среде, создадите таблицы и наполните их данными, построите логику связей и ключей. Вы получаете готовый кейс для уверенного роста и перехода к новым задачам.

Дипломная работа выполняется самостоятельно под руководством экспертов курса и закрепляет весь спектр знаний и навыков, полученных на программе.",https://netology.ru/programs/sql-lessons#/,https://cloud.mail.ru/public/5cAX/5nVpB61bc
Нетология,Product manager,,https://netology.ru/programs/profession-product#/presentation,"https://cloud.mail.ru/public/LRDQ/oSUKFDUao
https://cloud.mail.ru/public/4Hy1/5KoEor2CY
https://cloud.mail.ru/public/Ftna/H1GK1xcfk
https://cloud.mail.ru/public/9mBN/6CEEhgPm4
https://cloud.mail.ru/public/8wvW/CtUzjZp6T
https://cloud.mail.ru/public/EtEK/p9ACeoeyy"
Нетология,Power BI: анализ и визуализация данных без программирования (2018),"Программа курса

Загрузка и преобразование данных
Знакомство с инструментами Power BI и системой четырех этапов решения аналитических задач. Обзор источников данных для Power BI и особенностей работы с каждым из них. Подготовка исходных данных к дальнейшему анализу. Работа со сложными запросами и функциями.

Моделирование и анализ данных
Построение модели данных. Изменение модели данных и анализ данных с помощью вычисляемых столбцов и мер. Работа с контекстом. Настройка модели данных.

Визуализация данных. Работа с отчетами.
Выбор и настройка визуальных элементов в зависимости от цели визуализации и вида данных. Настройка взаимодействия между визуальными элементами. Настройка внешнего вида отчетов, фильтров и управляющих элементов.

Публикация данных и совместная работа с отчетами
Переход от Power BI Desktop в сервис Power BI для совместной работы. Отличия дашбордов и отчетов. Составление и работа с дашбордами. Машинное обучение в cкрытой аналитике Power BI. Power BI в браузере и Excel.

Тематические воркшопы по специализациям
После изучения основ инструмента мы предлагаем выбрать направление наиболее актуальное для вас, чтобы закрепить полученные знания на узкоспециальных воркшопах. Мы подготовили воркшопы для маркетологов, веб-аналитиков и финансовых аналитиков BI.

Дипломная работа
В рамках дипломного проекта вы сможете самостоятельно собрать необходимые данные и настроить дашборды с ключевыми метриками вашего проекта.


Достигнутые результаты

Построена модель данных для анализа рекламной кампании
Составлен план аналитического исследования
Проведен анализ A/B-теста
Спроектирован дашборд для отдела продаж
Ключевые навыки

Подготовка исходных данных для анализа
Построение моделей данных из разных неструктурированных источников: таблиц, сайтов и баз данных
Преобразование сложных данных в простые для восприятия и ценные для бизнеса сведения
Подготовка интерактивных отчетов и дашбордов для совместной работы
Написание кастомных формул на языке запросов DAX
Визуализация результатов анализа
Анализ динамики изменений на дашбордах",https://netology.ru/programs/power-bi,https://cloud.mail.ru/public/9CtE/Nk7Zfj6VW
Нетология,Excel: инструменты работы с данными для маркетологов и аналитиков (2016),,http://netology.ru/programs/excel,"https://cloud.mail.ru/public/3nso/36tYy38sx



			Пароль: www.coga.biz
		
Нажмите для раскрытия..."
Нетология,Таргетированная реклама (2019),"Как проходит обучение

Теория
Занятия в формате видеолекций и дополнительных материалов. Можно смотреть в любое удобное время. Вопросы можно задать на воркшопе или в мессенджере Slack.
Практика
По итогам каждого модуля предусмотрен проверочный тест, а также воркшоп с разбором кейсов. Перед участием нужно готовиться и выполнять подготовительные задания.
Сопровождение
Коммуникация с преподавателями и экспертами курса в режиме онлайн в мессенджере Slack. Отдельные каналы для обсуждения вопросов по каждому модулю.
Карьера
Центр развития карьеры поможет с составлением резюме, подготовит к собеседованию, предложит вакансии и будет сопровождать на всех этапах поиска работы.
Программа курса

1.Основы таргетированной рекламы
Разберёмся, что такое таргетированная реклама, для чего она нужна и как работает. Зарегистрируем рекламные кабинеты в социальных сетях и научимся легко ориентироваться в них, а также настроим первый таргетинг.
Эволюция интернет-рекламы и веб-аналитики
Терминология таргетированной рекламы
Аукцион в интернет-рекламе
Маркетинговая воронка для таргетированной рекламы
Форматы таргетированной рекламы
KPI для таргетированной рекламы
3 часа теории 3 часа практики

Навыки, которые вы получите
- научитесь регистрировать рекламные кабинеты Facebook, ВКонтакте и MyTarget
- освоите интерфейс: сможете определять формат, выгружать статистику, знать способы управления кампаниями
- научитесь настраивать таргетинги

2.Стратегия продвижения
Разберём, как составлять портрет целевой аудитории и работать с инструментами исследования. Познакомимся с Google Analytics и Яндекс.Метрикой, поймём принципы сбора и поиска целевых аудиторий. Узнаем, как работает ретаргетинг, какие бывают форматы планирования и составим первый медиаплан.
Основные подходы к описанию ЦА
Основы веб-аналитики
Google Tag Manager
Ретаргетинг и собственные аудитории в Facebook, ВКонтакте и MyTarget
Основные подходы к подсчету KPI
Основы медиапланирования
Построение воронок для разных типов бизнеса
3 часа теории 3 часа практики

Навыки, которые вы получите
- установите Google Analytics и Яндекс.Метрику на ваш сайт
- научитесь работать с Google Tag Manager
- узнаете, как определять KPI
- научитесь составлять медиаплан
- сможете описать ЦА
- научитесь определять бизнес-задачи для разных форматов и вертикалей бизнеса

3.Создание рекламных креативов
Научимся писать короткие продающие тексты, искать и обрабатывать изображения для разных рекламных форматов. Подготовим площадки для приёма трафика.
Приемы создания заголовка и CTA
Встроенные инструменты для работы с рекламными креативами
Правила успешного креатива
Выбор и организация работы с фото/видеостоками
Приёмы работы с графическими и видеокреативами
Работа с онлайн-редакторами
Подготовка площадок к приёму трафика
3 часа теории 3 часа практики

Навыки, которые вы получите
- научитесь создавать графический контент под форматы таргетированной рекламы
- освоите копирайтинг для баннеров
- сможете подготовить площадку к приёму трафика

4.Детали систем/запуск первой рекламной кампании
Запустим рекламную компанию в одном из кабинетов на выбор: Facebook и Instagram, MyTarget или ВКонтакте. Узнаем, как проанализировать результаты внутри рекламного кабинета.
Добавление UTM-меток

Настройка целей в сервисах веб-аналитики
ВКонтакте: основы продвижения контента, лидогенерации, продвижение e-commerce, аналитика и бенчмарки
MyTarget: основы продвижения контента, лидогенерации, продвижение e-commerce, аналитика и бенчмарки
Facebook и Instagram: основы продвижения контента, лидогенерации, продвижение e-commerce, аналитика и бенчмарки
Планирование бюджета рекламной кампании
6 часов теории 6 часов практики

Навыки, которые вы получите
- научитесь добавлять UTM-метки
- узнаете, как планировать бюджет рекламной кампании
- сможете настроить РК в Facebook/Instagram, MyTarget или ВКонтакте
- научитесь настраивать цели в GA/YM
- узнаете, как просмотреть статистику в рекламных кабинетах

5.Аналитика запущенных рекламных кампаний
Научимся анализировать запущенные рекламные кампании, чтобы расходовать бюджет максимально эффективно.
Статистика в системах веб-аналитики и рекламных кабинетах
Просмотр статистики по UTM-меткам, гео, устройствам, страницам, целям
Анализ успешных/провальных рекламных кампаний
Формирование отчётов
3 часа теории 3 часа практики

Навыки, которые вы получите
- научитесь анализировать запущенные рекламные кампании
- сможете формировать отчёты
- узнаете, как оптимизировать рекламные кампании

6.Погружение в профессию и бизнес
Разберёмся в особенностях работы таргетолога в агентстве и на фрилансе. Составим вопросы для брифа на продвижение. Узнаем, как и где найти подрядчиков и освоим тонкости стратегии построения карьеры.
Ценообразование на рынке таргетированной рекламы (фриланс и агентства)
Составление брифа на продвижение через таргетированную рекламу (фриланс и агентства)
Поиск и тестирование подрядчиков (фриланс и агентства)
3 часа теории 3 часа практики

Навыки, которые вы получите
- научитесь составлять бриф для заказчика
- сможете искать подрядчиков на продвижение
- научитесь оценивать работы по таргетированной рекламе

7.Дипломная работа
После завершения обучения студенты выполняют финальную практическую работу. Каждый получит техническое задание по запуску таргетированной рекламы. Согласно брифу нужно будет подобрать площадку для рекламной кампании, составить медиаплан, создать рекламные объявления и настроить рекламную кампанию под конкретную бизнес-задачу.
10 часов практики",https://netology.ru/programs/target-smm#/internship,https://cloud.mail.ru/public/4znS/25BoMwiD2
Нетология,Как довести любой текст до ума за 20 минут,,https://netology.ru/free-lessons/mrk-kak-dovesti-lyuboi-text-do-uma-za-20-minut-20-03-2018?stop=1#!,https://cloud.mail.ru/public/3Wag/2JWcpzXYu
Нетология,"Полезные навыки работы в Excel для новичков, о которых не знают «профи» и «гуру»",,https://www.youtube.com/channel/UCGilnkF-DVAoBvG7EgDZhzQ,https://cloud.mail.ru/public/454W/4itCE3fXq
Нетология,"5 функций Google Таблиц, которые будут полезны каждому (2018)","Инструмент Google Таблицы давно завоевал свою лояльную аудиторию, но до сих пор аналитики отказываются от него в пользу Excel по причине ограниченности функций. Но на самом деле это не так. Команда разработки Google Таблиц добавляет все новые и новые функции, чтобы менеджерам было проще анализировать цифры. 

На занятии мы обсудим несколько полезных функций Google Таблиц:

IMPORTRANGE, позволяющую связать несколько документов в Таблицах и загружать данные из одной в другую в режиме онлайн;
QUERY, позволяющую строить SQL-запросы и формировать любые выборки - например, ТОП продаж только по определенной категории товаров из общего списка;
IMAGE, позволяющую вставлять в ячейки изображения. Например, обложки книг в файлах с их продажами или абсолютно любые значки и иллюстрации для условного форматирования;
Комментирование и ссылки на конкретные диапазоны: удобства для совместной работы;
Режим фильтрации, позволяющий многим пользователям параллельно фильтровать данные и не мешать друг другу.
По каждой функции мы рассмотрим примеры из практики.",https://netology.ru/free-lessons/mng-5-funktsyy-google-tablits,https://cloud.mail.ru/public/LUs8/iRibvLmCh
Нетология,"Основы графического дизайна: композиция, цвет, типографика",,https://netology.ru/programs/graphic-design,https://cloud.mail.ru/public/26BZ/26ARcq3L1
Нетология,Руководитель и сотрудники: как выстроить эффективную работу,"Каждому руководителю важно выстраивать отношения с сотрудниками, а не просто управлять ими. От умения ставить задачи, обсуждать результаты работы — удачные и не очень — и устанавливать понимание с подчиненными зависит успех компании в целом.

Курс отлично подойдет молодому руководителю, который только что получил повышение, и руководителям старой закалки, которые хотят на порядок улучшить результаты работы своих подчиненных.

Вы научитесь ставить, делегировать и контролировать задачи; начнете понимать, что мотивирует и демотивирует сотрудников, как правильно хвалить за успехи и разбираться с неудачами.

После изучения курса вы превратите отдельных подчиненных в слаженную команду и получите блестящие результаты работы..",http://netology.ru/kursy/upravlencheskiye_kommunikatsii,https://cloud.mail.ru/public/zAeD/j9Rkt8cRg
Нетология,Дизайн презентаций как искусство. Основы мастерства,,http://netology.ru/courses/dizain-prezentatsii,https://cloud.mail.ru/public/3jrn/4kwqSyHPj
Щербаков Александр,Как открыть секс-шоп от автора бренда Доктор Любви,,https://lovedoctor.ru/business/,https://yadi.sk/d/XXzy3stj2rLpyg
Нетология,SEO-специалист: как поднять продажи с помощью поискового маркетинга,,http://netology.ru/obuchenie-professii/seo-specialist,http://yadi.sk/d/tQXkc3gURxTnW
Олег Громов,Анализ конкурентов и монит оринг сайтов,"Анализ конкурентной среды — одна из основ планирования любого проекта. Многие начинающие интернет-проекты недооценивают конкурентный анализ — одни пренебрегают им, другие просто не знают как провести его верным способом. В курсе мы расскажем про основные методы конкурентного анализа. Вы научитесь работать с данными и узнаете, какие полезные сервисы существуют для мониторинга. Этот авторский курс не имеет аналогов в российском профессиональном образовании!

Содержание:

1. Введение в конкурентный анализ

2. Анализ конкурентов в интернет-среде

3. Теория мониторинга сайтов

4. Аналитическое ПО

5. Демонстрация SORGE

6. Внедрение мониторинга в организацию

7. Примеры отчетов


Скачать:

Скрытый контент, для просмотра которого нужно лайкнуть пост.

https://yadi.sk/d/mh9IJysOQyFo0g",,https://yadi.sk/d/mh9IJysOQyFo0g
,,,,
,,,https://netology.ru/programs/smm-specialist#/lessons,https://yadi.sk/d/kDgqai-ZQALTHA
Нетология,Как подготовиться к публичному выступлению (+транскрибация),,https://netology.ru/courses/publichnoe-vystuplenie,"https://cloud.mail.ru/public/9AQ7/K2hwpnZ3b 
Пароль: www.coga.biz"
"Нетология, Владимир Лаптев",Инфографика: искусство презентации данных (2016),,https://netology.ru/programs/infografica,https://yadi.sk/d/H6fyq6NG3T4Urb  Пароль: www.infosklad.org
Нетология,Дизайн мобильных приложений: этапы разработки и инструменты дизайнера,,http://netology.ru/kursy/disayn-mobilnyh-prilozheniy,https://cloud.mail.ru/public/A2Lp/KAck3hHKt
Нетология,"Управление продуктом: аналитика, разработка, продвижение (2016)",,,"https://cloud.mail.ru/public/CxnX/tbBhtvbeW



			Пароль: Open-Hide.biz
		
Нажмите для раскрытия..."
Нетология,Как Создать Уникальное Торговое Предложение,"Уникальное торговое предложение способно сделать компанию лидером рынка. Но как выявить исключительные особенности бизнеса, отстроиться от конкурентов и убедить клиента, что его внимания достойны именно вы?

Этот курс будет полезен маркетологам, руководителям и владельцам бизнеса.

Елена Варданян расскажет, что такое УТП и как его сформулировать, сколько УТП должно быть у вашего бизнеса и как рассчитать результат их действия. Вы научитесь определять причины покупки вашего товара, выбирать нишу на рынке и разговаривать с клиентом на языке выгод.",https://netology.ru/courses/unikalnoe-torgovoe-predlozhenie,https://cloud.mail.ru/public/5MPB/8cyYoRvDP
Нетология,HTML-верстка: с нуля до первого макета,,http://netology.ru/obuchenie-profes...s&utm_campaign=987&utm_source=htmlbook&stop=1,https://cloud.mail.ru/public/GRRc/5ryAUD2Yr
Нетология,Копирайтинг: пишем профессионально,,http://netology.ru/programs/copywriting,https://cloud.mail.ru/public/hP1p/3eZBsGavS
Нетология,Особенности интернет- маркетинга для B2B 2018,,https://netology.ru/courses/marketing-dlya-b2b,https://cloud.mail.ru/public/daxX/GM7mYTcBs
Нетология,Дизайн писем для email-маркетинга,"Этот курс — практическое руководство по созданию эффектного и эффективного дизайна в email-маркетинге. Из него вы узнаете, что такое email-дизайн и чем он отличается от веб-дизайна. Кто такой email-дизайнер и как планировать его время и грамотно подходить к работе.

Вы научитесь проектировать письма и адаптировать email-сообщение под мобильные устройства — планшеты и смартфоны. Узнаете, когда подписчиков удовлетворит шаблонное письмо, а когда точно нужен креатив, а также сможете оценить эффективность дизайна письма в email-маркетинге.

Курс о дизайне писем для email-маркетинга будет полезен начинающим веб-дизайнерам и email-маркетологам.",https://netology.ru/courses/disain_pisem,https://cloud.mail.ru/public/JpBa/WuK5bTToZ
Константин Сахнов,"Геймификация, как инструмент бизнеса","Что такое геймификация? Как применять ее механики в бизнесе, какие вопросы решает геймификация. Также после курса вы узнаете нужна ли вам геймификация.


Скачать:

Скрытый контент, для просмотра которого нужно лайкнуть пост.

https://yadi.sk/d/FBmYa4WEJCBIBg",,https://yadi.sk/d/FBmYa4WEJCBIBg
